country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string,day
AT,10,1.271,1.2444,1.2976,"(1.2444, 1.2976)",271
BE,10,1.303,1.2585,1.3475,"(1.2585, 1.3475)",271
BG,10,1.27,1.2314,1.3086,"(1.2314, 1.3086)",271
CH,10,1.072,1.0578,1.0862,"(1.0578, 1.0862)",271
CZ,10,1.152,1.1202,1.1838,"(1.1202, 1.1838)",271
DE,10,1.317,1.2631,1.3709,"(1.2631, 1.3709)",271
DK,10,1.258,1.2171,1.2989,"(1.2171, 1.2989)",271
EE,10,1.064,1.05,1.078,"(1.0500, 1.0780)",271
EL,10,1.181,1.1515,1.2105,"(1.1515, 1.2105)",271
ES,10,1.153,1.1289,1.1771,"(1.1289, 1.1771)",271
FI,10,1.035,1.0289,1.0411,"(1.0289, 1.0411)",271
FR,10,1.216,1.1752,1.2568,"(1.1752, 1.2568)",271
HR,10,1.202,1.1709,1.2331,"(1.1709, 1.2331)",271
HU,10,1.179,1.157,1.201,"(1.1570, 1.2010)",271
IE,10,1.0,,,,271
IT,10,1.115,1.0941,1.1359,"(1.0941, 1.1359)",271
LT,10,1.358,1.3103,1.4057,"(1.3103, 1.4057)",271
LU,10,1.202,1.1519,1.2521,"(1.1519, 1.2521)",271
LV,10,1.072,1.0595,1.0845,"(1.0595, 1.0845)",271
NL,10,1.341,1.2862,1.3958,"(1.2862, 1.3958)",271
NO,10,1.027,1.0144,1.0396,"(1.0144, 1.0396)",271
PL,10,1.061,1.0539,1.0681,"(1.0539, 1.0681)",271
PT,10,1.132,1.1032,1.1608,"(1.1032, 1.1608)",271
RO,10,1.332,1.2853,1.3787,"(1.2853, 1.3787)",271
SE,10,1.09,1.0731,1.1069,"(1.0731, 1.1069)",271
SI,10,1.012,1.009,1.015,"(1.0090, 1.0150)",271
SK,10,1.006,1.0023,1.0097,"(1.0023, 1.0097)",271
UK,10,1.338,1.3064,1.3696,"(1.3064, 1.3696)",271
AT,10,1.335,1.2869,1.3831,"(1.2869, 1.3831)",301
BE,10,1.421,1.3741,1.4679,"(1.3741, 1.4679)",301
BG,10,1.314,1.2366,1.3914,"(1.2366, 1.3914)",301
CH,10,1.063,1.0472,1.0788,"(1.0472, 1.0788)",301
CZ,10,1.148,1.1265,1.1695,"(1.1265, 1.1695)",301
DE,10,1.288,1.2427,1.3333,"(1.2427, 1.3333)",301
DK,10,1.258,1.2177,1.2983,"(1.2177, 1.2983)",301
EE,10,1.066,1.0547,1.0773,"(1.0547, 1.0773)",301
EL,10,1.165,1.1286,1.2014,"(1.1286, 1.2014)",301
ES,10,1.195,1.1777,1.2123,"(1.1777, 1.2123)",301
FI,10,1.027,1.0222,1.0318,"(1.0222, 1.0318)",301
FR,10,1.161,1.1385,1.1835,"(1.1385, 1.1835)",301
HR,10,1.247,1.2172,1.2768,"(1.2172, 1.2768)",301
HU,10,1.201,1.1861,1.2159,"(1.1861, 1.2159)",301
IE,10,1.0,,,,301
IT,10,1.18,1.1534,1.2066,"(1.1534, 1.2066)",301
LT,10,1.343,1.3217,1.3643,"(1.3217, 1.3643)",301
